name,city,zip,state,cname
"CFBANK, NATIONAL ASSOCIATION",WORTHINGTON,43085,OH,CFBANK NA
COMMUNITY BANK & TRUST-WEST GEORGIA,LA GRANGE,30240,GA,COMMUNITY BANK AND TRUSTWEST GEORGIA
CORNERSTONEBANK,ATLANTA,30327,GA,CORNERSTONEBANK
FIRST SECURITY BANK-WEST,BEULAH,58523,ND,FIRST SECURITY BANKWEST
PINNACLE BANK-WYOMING,TORRINGTON,82240,WY,PINNACLE BANKWYOMING
"SOUTHBANK, A FEDERAL SAVINGS BANK",HUNTSVILLE,35801,AL,SOUTHBANK A FEDERAL SAVINGS BANK
STATE NEBRASKA BANK & TRUST,WAYNE,68787,NE,STATE NEBRASKA BANK AND TRUST
THE BANK OF DELMARVA,SEAFORD,19973,DE,BANK OF DELMARVA
"THE FIRST NATIONAL BANKD AND TRUST COMPANY, CHICKASHA OKLAHO",CHICKASHA,73018,DOK,FIRST NATIONAL BANK AND TRUST COMPANY CHICKASHA OKLAHO
TOWNE BANK,PORTSMOUTH,23703,VA,TOWNE BANK
